Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
2543.000,4652017871568.08,-81536.98277,75766272247.14716,75766190710.16438
2544.000,4651036632592.57,-102543.90064,75750291049.00668,75750188505.10605
2545.000,4650610179612.93,-59388.67423,75743345514.09096,75743286125.41673
2546.000,4651273069506.08,-106372.93436,75754141838.93338,75754035465.99902
2547.000,4650356268711.07,-83162.09115,75739210129.60870,75739126967.51755
2548.000,4648934338569.31,-74552.63021,75716051502.70509,75715976950.07489
2549.000,4648688932836.91,-59216.06347,75712054639.82854,75711995423.76506
2550.000,4649424707463.26,-68382.32574,75724038020.41548,75723969638.08974
2551.000,4649648327584.10,-84654.03173,75727680066.38852,75727595412.35678
2552.000,4649145364294.30,-109541.97528,75719488426.84688,75719378884.87160
2553.000,4649105303411.00,-84488.42089,75718835965.08197,75718751476.66109
2554.000,4648803057150.50,-90558.20389,75713913354.48788,75713822796.28400
2555.000,4649804092077.61,23773.66024,75730216964.42877,75730240738.08902
2556.000,4652940111966.68,-88864.68824,75781292549.95912,75781203685.27087
2557.000,4652838118342.44,-102575.09779,75779631404.85703,75779528829.75923
2558.000,4653754259034.70,-96369.14595,75794552363.25029,75794455994.10434
2559.000,4654406523837.92,-113258.10446,75805175639.86333,75805062381.75887
2560.000,4657826639864.54,-72542.90553,75860878229.39412,75860805686.48859
2561.000,4660974802221.15,-75201.27535,75912151576.31018,75912076375.03482
2562.000,4660612804142.27,-27610.07658,75906255802.52895,75906228192.45236
2563.000,4660301524114.48,-56905.35206,75901186061.18626,75901129155.83421
2564.000,4656272857951.84,-32774.84494,75835572165.08812,75835539390.24318
2565.000,4653310648904.22,-96121.86552,75787327394.03363,75787231272.16811
2566.000,4652851764207.91,-96221.34183,75779853651.71574,75779757430.37392
2567.000,4652039776872.09,-101774.44434,75766629013.45215,75766527239.00781
2568.000,4650578630742.09,-92363.37923,75742831685.38185,75742739322.00262
2569.000,4650205018233.06,-82131.34869,75736746750.23006,75736664618.88136
